"","name","team","heightinches","weightpounds"
"1","Adam_Donachie","BAL",74,180
"2","Paul_Bako","BAL",74,215
"3","Ramon_Hernandez","BAL",72,210
"4","Kevin_Millar","BAL",72,210
"5","Chris_Gomez","BAL",73,188
"6","Brian_Roberts","BAL",69,176
"7","Miguel_Tejada","BAL",69,209
"8","Melvin_Mora","BAL",71,200
"9","Aubrey_Huff","BAL",76,231
"10","Adam_Stern","BAL",71,180
"11","Jeff_Fiorentino","BAL",73,188
"12","Freddie_Bynum","BAL",73,180
"13","Nick_Markakis","BAL",74,185
"14","Brandon_Fahey","BAL",74,160
"15","Corey_Patterson","BAL",69,180
"16","Jay_Payton","BAL",70,185
"17","Jay_Gibbons","BAL",72,197
"18","Erik_Bedard","BAL",73,189
"19","Hayden_Penn","BAL",75,185
"20","Adam_Loewen","BAL",78,219
"21","Daniel_Cabrera","BAL",79,230
"22","Steve_Trachsel","BAL",76,205
"23","Jaret_Wright","BAL",74,230
"24","Kris_Benson","BAL",76,195
"25","Scott_Williamson","BAL",72,180
"26","John_Parrish","BAL",71,192
"27","Danys_Baez","BAL",75,225
"28","Chad_Bradford","BAL",77,203
"29","Jamie_Walker","BAL",74,195
"30","Brian_Burres","BAL",73,182
"31","Kurt_Birkins","BAL",74,188
"32","James_Hoey","BAL",78,200
"33","Sendy_Rleal","BAL",73,180
"34","Chris_Ray","BAL",75,200
"35","Jeremy_Guthrie","BAL",73,200
"36","A.J._Pierzynski","CWS",75,245
"37","Toby_Hall","CWS",75,240
"38","Paul_Konerko","CWS",74,215
"39","Tadahito_Iguchi","CWS",69,185
"40","Juan_Uribe","CWS",71,175
"41","Alex_Cintron","CWS",74,199
"42","Joe_Crede","CWS",73,200
"43","Josh_Fields","CWS",73,215
"44","Ryan_Sweeney","CWS",76,200
"45","Brian_N._Anderson","CWS",74,205
"46","Luis_Terrero","CWS",74,206
"47","Pablo_Ozuna","CWS",70,186
"48","Scott_Podsednik","CWS",72,188
"49","Jermaine_Dye","CWS",77,220
"50","Darin_Erstad","CWS",74,210
"51","Rob_Mackowiak","CWS",70,195
"52","Jim_Thome","CWS",76,244
"53","Jerry_Owens","CWS",75,195
"54","Charlie_Haeger","CWS",73,200
"55","Heath_Phillips","CWS",75,200
"56","Gavin_Floyd","CWS",76,212
"57","Jose_Contreras","CWS",76,224
"58","Jon_Garland","CWS",78,210
"59","Javier_Vazquez","CWS",74,205
"60","Mark_Buehrle","CWS",74,220
"61","Mike_MacDougal","CWS",76,195
"62","David_Aardsma","CWS",77,200
"63","Andrew_Sisco","CWS",81,260
"64","Matt_Thornton","CWS",78,228
"65","Bobby_Jenks","CWS",75,270
"66","Boone_Logan","CWS",77,200
"67","Sean_Tracey","CWS",75,210
"68","Nick_Masset","CWS",76,190
"69","Jose_Molina","ANA",74,220
"70","Jeff_Mathis","ANA",72,180
"71","Mike_Napoli","ANA",72,205
"72","Casey_Kotchman","ANA",75,210
"73","Kendry_Morales","ANA",73,220
"74","Shea_Hillenbrand","ANA",73,211
"75","Robb_Quinlan","ANA",73,200
"76","Howie_Kendrick","ANA",70,180
"77","Orlando_Cabrera","ANA",70,190
"78","Erick_Aybar","ANA",70,170
"79","Dallas_McPherson","ANA",76,230
"80","Maicer_Izturis","ANA",68,155
"81","Reggie_Willits","ANA",71,185
"82","Tommy_Murphy","ANA",72,185
"83","Terry_Evans","ANA",75,200
"84","Gary_Matthews_Jr.","ANA",75,225
"85","Garret_Anderson","ANA",75,225
"86","Vladimir_Guerrero","ANA",75,220
"87","Chone_Figgins","ANA",68,160
"88","Juan_Rivera","ANA",74,205
"89","John_Lackey","ANA",78,235
"90","Bartolo_Colon","ANA",71,250
"91","Kelvim_Escobar","ANA",73,210
